,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,salalah,75,OM,1584892325,88,80.6,17.02,54.09,9.17
1,tessalit,62,ML,1584892325,4,94.33,20.2,1.01,16.96
2,vao,2,NC,1584892325,80,77.95,-22.67,167.48,18.34
3,rawson,67,AR,1584892168,48,70.03,-43.3,-65.1,8.43
4,yellowknife,75,CA,1584892113,92,15.8,62.46,-114.35,6.93
5,qaanaaq,100,GL,1584892152,81,-3.59,77.48,-69.36,2.98
6,puerto ayora,20,EC,1584892325,78,81.0,-0.74,-90.35,6.93
7,tasiilaq,90,GL,1584892135,73,23.0,65.61,-37.64,18.34
8,rikitea,30,PF,1584892325,74,77.77,-23.12,-134.97,5.06
9,kaitangata,83,NZ,1584892325,69,52.0,-46.28,169.85,9.08
10,saskylakh,100,RU,1584892325,90,-2.15,71.92,114.08,5.06
11,kandrian,68,PG,1584892325,93,74.35,-6.22,149.55,1.39
12,nha trang,20,VN,1584892325,74,80.6,12.25,109.18,2.24
13,port hardy,90,CA,1584892325,93,37.4,50.7,-127.42,9.17
14,ilulissat,0,GL,1584892326,46,8.6,69.22,-51.1,5.82
15,mehamn,100,NO,1584892326,71,30.07,71.04,27.85,21.92
16,saint-leu,84,RE,1584892326,69,78.8,-21.15,55.28,16.11
17,atuona,51,PF,1584892135,78,82.09,-9.8,-139.03,11.41
18,marang,40,MY,1584892326,88,78.8,5.21,103.21,5.82
19,awbari,0,LY,1584892326,14,81.37,26.59,12.78,14.32
20,ushuaia,97,AR,1584892326,57,50.0,-54.8,-68.3,4.94
21,rjukan,100,NO,1584892326,99,28.0,59.88,8.59,7.05
22,jamestown,1,US,1584892074,49,36.0,42.1,-79.24,8.05
23,lebu,91,CL,1584892326,54,63.91,-37.62,-73.65,10.69
24,brodokalmak,40,RU,1584892326,79,26.6,55.57,62.08,13.42
25,sambava,58,MG,1584892326,80,75.79,-14.27,50.17,2.66
26,sabzevar,83,IR,1584892031,56,59.23,36.21,57.68,15.95
27,cairns,40,AU,1584892326,78,78.8,-16.92,145.77,12.75
28,kankan,32,GN,1584892326,23,99.91,10.39,-9.31,1.23
29,te anau,100,NZ,1584892326,74,46.45,-45.42,167.72,6.64
30,hamilton,1,US,1584892105,69,42.01,39.18,-84.53,5.82
31,tuatapere,100,NZ,1584892326,90,48.0,-46.13,167.68,3.0
32,inirida,64,CO,1584892326,52,90.91,3.87,-67.92,2.53
33,mataura,100,NZ,1584892133,90,48.0,-46.19,168.86,3.0
