,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,Albany,90,US,1585014867,86,33.01,42.6,-73.97,9.17
1,Puerto Ayora,93,EC,1585014868,82,79.0,-0.74,-90.35,7.0
2,Port-Gentil,100,GA,1585014869,82,80.96,-0.72,8.78,9.57
3,Mataura,100,NZ,1585014870,91,51.01,-46.19,168.86,11.01
4,Shubarshi,43,KZ,1585014871,72,33.08,48.59,57.19,13.76
5,Hasaki,20,JP,1585014872,46,55.0,35.73,140.83,17.22
6,Bonthe,100,SL,1585014873,85,79.34,7.53,-12.51,9.82
7,Punta Arenas,68,CL,1585014874,81,48.2,-53.15,-70.92,21.92
8,Jamestown,90,US,1585014875,100,39.2,42.1,-79.24,10.29
9,Faanui,1,PF,1585014876,64,83.84,-16.48,-151.75,0.58
10,Alice Springs,51,AU,1585014877,24,89.6,-23.7,133.88,9.17
11,Rikitea,100,PF,1585014878,75,78.62,-23.12,-134.97,9.08
12,Gazojak,100,TM,1585014838,28,48.38,41.19,61.4,21.5
13,Santiago del Estero,0,AR,1585014861,43,79.16,-27.8,-64.26,8.9
14,Ushuaia,75,AR,1585014882,81,46.4,-54.8,-68.3,23.04
15,Bredasdorp,50,ZA,1585014883,87,57.0,-34.53,20.04,3.36
16,Gizo Government Station,30,SB,1585014884,77,83.48,-8.1,156.84,0.78
17,Øksfjord,75,NO,1585014885,69,39.2,70.24,22.35,34.45
18,Biltine,0,TD,1585014886,15,73.22,14.53,20.92,3.94
19,Kurtalan,40,TR,1585014887,93,42.8,37.93,41.7,6.93
20,Kapaa,20,US,1585014888,61,80.6,22.08,-159.32,19.46
21,Labuhan,100,ID,1585014889,67,85.82,-6.88,112.21,3.44
22,Portland,40,US,1585014618,57,50.0,45.52,-122.68,13.87
23,Honiara,20,SB,1585014721,70,87.8,-9.43,159.95,5.82
24,Yerbogachën,26,RU,1585014883,87,-2.2,61.28,108.01,8.63
25,Praia,20,CV,1585014895,60,69.8,14.92,-23.51,14.99
